PAIS,NIF,NOMBRE,AÑO,AYUDA EQUIVALENTE ACUMULADA TOTAL,AYUDA EQUIVALENTE DEL MRR,TIPO_ENTIDAD
ES,A78923125,TELEFONICA MOVILES ESPAñA SA,2024,298345770.18,298345770.18,Sociedad Anónima (S.A.)
ES,B50629187,GENERAL MOTORS ESPAÑA SL,2024,220216929.0,214711321.57,Sociedad de Responsabilidad Limitada (S.L.)
ES,A16952764,POWER HOLDCO SPAIN  SA,2024,152860637.07,152285637.07,Sociedad Anónima (S.A.)
ES,A82009812,ORANGE ESPAGNE SA,2024,118776186.5,118776186.5,Sociedad Anónima (S.A.)
ES,A79380465,MERCEDES-BENZ ESPAÑA SA,2024,104488606.32,104488606.32,Sociedad Anónima (S.A.)
ES,A80907397,VODAFONE ESPAÑA SA,2024,66103279.14,66103279.14,Sociedad Anónima (S.A.)
ES,A35604487,SALCAI-UTINSA SA,2024,63248596.0,264000.0,Sociedad Anónima (S.A.)
ES,A47000518,RENAULT ESPAñA SA,2024,57121865.18,55994570.34,Sociedad Anónima (S.A.)
ES,A28165298,FERTIBERIA SA,2024,52512596.93,52368579.53,Sociedad Anónima (S.A.)
ES,A28003119,COMPAÑIA ESPAÑOLA DE PETROLEOS SA,2024,51344788.19,26974498.01,Sociedad Anónima (S.A.)
ES,A97516058,VOSSLOH ESPAñA SA,2024,50010559.75,0.0,Sociedad Anónima (S.A.)
ES,B85680437,ENSO ESCO SL,2024,50000000.0,50000000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A95075586,IBERDROLA GENERACION SA,2024,44901689.42,44901689.42,Sociedad Anónima (S.A.)
ES,A82689753,"ASTURIANA DE ZINC, SA",2024,42458501.68,8702156.0,Sociedad Anónima (S.A.)
ES,A81046856,ARCELORMITTAL ESPAÑA SA,2024,41935386.08,12636216.6,Sociedad Anónima (S.A.)
ES,A41047267,EMVISESA.,2024,40856625.25,40856625.25,Sociedad Anónima (S.A.)
ES,B66824772,"SEMIDYNAMICS TECHNOLOGY SERVICES, S.L.",2024,38580300.0,38580300.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A28637304,AGRUPACION ESPAÑOLA DE ENTIDADES ASEGURADORAS DE L,2024,38472711.61,0.0,Sociedad Anónima (S.A.)
ES,A35092683,GUAGUAS MUNICIPALES SA,2024,37237817.04,37154.7,Sociedad Anónima (S.A.)
ES,B44809549,ENERGIA GEOTERMICA DE CANARIAS SLU,2024,36078802.0,36078802.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B24629370,C D R  TREMOR SL,2024,35319026.92,35319026.92,Sociedad de Responsabilidad Limitada (S.L.)
ES,B10510386,A GREEN MESSAGE SL,2024,32371670.0,32371670.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B82846817,ENDESA DISTRIBUCION ELECTRICA SL,2024,28607015.45,28607015.45,Sociedad de Responsabilidad Limitada (S.L.)
ES,B09784935,"HERCULINA LAS DUNAS, SL",2024,28100349.2,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B85888725,KNOWLEDGE DEVELOPMENT FOR POF SL,2024,26816326.36,26816326.36,Sociedad de Responsabilidad Limitada (S.L.)
ES,B10552685,"LAGOOM LIVING SANCHEZ BLANCA, S.L.",2024,25647288.0,25647288.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A38732566,SOC DE PROM Y DESA ECONO ISLA PALMA  SA,2024,25301111.32,24801111.32,Sociedad Anónima (S.A.)
ES,B16722514,HUB TECH FACTORY SLU,2024,24067714.0,24029714.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A50011808,FORMIGAL SA,2024,23559976.26,175093.26,Sociedad Anónima (S.A.)
ES,A28047223,REPSOL PETROLEO SA,2024,23460095.23,0.0,Sociedad Anónima (S.A.)
ES,A93135218,AVATEL TELECOM SA,2024,23445984.59,23445984.59,Sociedad Anónima (S.A.)
ES,A78109402,DRAGADOS OFFSHORE SA,2024,23308105.0,0.0,Sociedad Anónima (S.A.)
ES,A95758389,IBERDROLA CLIENTES SA,2024,23180492.42,23180492.42,Sociedad Anónima (S.A.)
ES,B79110482,ATLANTIC COPPER SL,2024,22428048.24,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B93111557,"SOCIEDAD MUNICIPAL DE VIVIENDAS DE MALAGA,S.L.",2024,22189485.05,22189485.05,Sociedad de Responsabilidad Limitada (S.L.)
ES,A38259115,INST. TECNOLOGICO ENERGIA RENOVABLE SA,2024,21975938.4,21167070.96,Sociedad Anónima (S.A.)
ES,A47637160,RADIO TELEVISION DE CYL SA,2024,21388395.0,0.0,Sociedad Anónima (S.A.)
ES,A45421641,GESTION DE INFRAESTRUCTURAS DE CASTILLA LA MANCHA,2024,21311356.66,19979400.0,Sociedad Anónima (S.A.)
ES,B01292903,GERDAU ACEROS ESPECIALES EUROPA SL,2024,20887251.96,12870612.08,Sociedad de Responsabilidad Limitada (S.L.)
ES,B61507133,BORGWARNER EMISSIONS SYSTEMS SPAIN SL,2024,20619760.64,19555085.33,Sociedad de Responsabilidad Limitada (S.L.)
ES,A95075578,IBERDROLA DISTRIBUCION ELECTRICA SA,2024,19842589.64,19736328.53,Sociedad Anónima (S.A.)
ES,A98306228,SUBSTRATE ARTIFICIAL INTELIGENCE SA,2024,19430067.99,0.0,Sociedad Anónima (S.A.)
ES,B72486376,"INDUSTRIA DEL HIDROGENO BARATARIA, S.L.",2024,19109226.0,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,F20026944,IRIZAR SDAD COOP,2024,18973750.66,18973750.66,Sociedades Cooperativas
ES,A26019992,FCC AQUALIA SA,2024,18753002.82,17448093.75,Sociedad Anónima (S.A.)
ES,A79475729,ILUNION LAVANDERIAS SA,2024,16509529.34,4280.0,Sociedad Anónima (S.A.)
ES,A08000143,BANCO DE SABADELL SA,2024,16366277.32,0.0,Sociedad Anónima (S.A.)
